,Result,Home_Elo,Away_Elo
0,L,1639.70959473,1690.8269043
1,L,1636.53991699,1648.24841309
2,D,1697.95812988,1807.02319336
3,W,1591.83911133,1814.43371582
4,W,1851.33642578,1658.3269043
5,D,1597.75341797,1684.58190918
6,D,1781.29345703,1626.64904785
7,L,1622.66186523,1791.51696777
8,L,1842.85192871,1802.98962402
9,W,1795.97900391,1727.61560059
10,W,1800.26965332,1777.11254883
11,W,1632.59326172,1814.90783691
12,D,1803.46594238,1833.49914551
13,L,1685.0480957,1859.20532227
14,L,1700.50866699,1605.37231445
15,W,1806.85778809,1628.46130371
16,L,1633.39538574,1802.22314453
17,L,1658.89245605,1700.68884277
18,L,1656.93652344,1599.85266113
19,W,1723.92541504,1616.4744873
20,W,1800.45471191,1641.34301758
21,D,1618.50280762,1605.2989502
22,W,1702.07336426,1669.0057373
23,L,1615.38049316,1801.68688965
24,W,1795.515625,1676.35791016
25,D,1761.55285645,1638.6328125
26,D,1802.67358398,1792.01550293
27,L,1621.02124023,1827.30688477
28,W,1861.15307617,1699.3236084
29,D,1643.36547852,1604.01379395
30,W,1607.28112793,1640.58666992
31,W,1833.49438477,1756.80163574
32,D,1635.61877441,1610.40136719
33,W,1793.92712402,1799.53955078
34,L,1806.6661377,1865.54589844
35,L,1606.79260254,1616.52062988
36,L,1663.26318359,1800.76196289
37,L,1694.93078613,1614.83374023
38,D,1672.33398438,1806.17883301
39,L,1643.3840332,1707.81591797
40,L,1805.48718262,1806.82385254
41,W,1722.66308594,1598.80334473
42,L,1614.37414551,1843.29077148
43,W,1800.16503906,1634.75
44,W,1882.81738281,1616.1328125
45,W,1634.83886719,1680.1965332
46,W,1627.6138916,1652.75854492
47,W,1760.19018555,1676.12963867
48,W,1802.62145996,1631.64086914
49,W,1632.67199707,1788.43896484
50,W,1612.50817871,1728.40722656
51,W,1850.08081055,1796.35534668
52,W,1815.95568848,1607.58422852
53,W,1773.27160645,1805.85766602
54,L,1593.0592041,1805.73156738
55,D,1639.93310547,1646.1036377
56,L,1628.53063965,1640.43933105
57,L,1671.30859375,1886.4420166
58,L,1668.93188477,1765.01123047
59,W,1629.05737305,1647.8392334
60,D,1721.98278809,1652.74743652
61,L,1605.60546875,1790.31872559
62,D,1622.45922852,1650.60437012
63,L,1668.53869629,1824.17102051
64,D,1640.87890625,1625.16918945
65,D,1659.8828125,1591.87231445
66,L,1642.25427246,1866.32446289
