,Home_Elo,Away_Elo,Result
0,1673.68884277,1720.21118164,W
1,1591.54626465,1799.52392578,L
2,1991.63098145,1624.62426758,W
3,1685.76428223,1677.56347656,L
4,1807.71264648,1715.9395752,L
5,1593.79064941,1757.98510742,L
6,1653.63110352,1818.56286621,L
7,1693.6763916,1778.44799805,L
8,1807.03344727,1672.734375,W
9,1727.68505859,1585.65991211,W
10,1623.89941406,1584.77734375,W
11,1861.09973145,1682.27844238,L
12,1825.85424805,1993.09631348,L
13,1766.85632324,1723.07312012,W
14,1691.3338623,1647.08032227,L
15,1712.36206055,1797.82580566,L
16,1618.62438965,1684.03930664,W
17,1788.82556152,1968.14929199,L
18,1665.40490723,1842.53186035,L
19,1715.0760498,1700.82922363,L
20,1701.51806641,1734.72106934,L
21,1579.29553223,1819.50024414,D
22,1974.95031738,1775.52526855,L
23,1675.4967041,1630.20825195,L
24,1811.04370117,1673.68103027,D
25,1669.17089844,1782.69641113,W
26,1579.14025879,1627.83874512,L
27,2000.12207031,1811.26867676,W
28,1815.06933594,1694.03198242,W
29,1743.82592773,1661.48156738,W
30,1641.18554688,1952.78857422,D
31,1679.04284668,1706.42272949,W
32,1807.7097168,1666.13818359,W
33,1641.77258301,2005.29968262,W
34,1799.30566406,1690.32470703,L
35,1848.07385254,1809.74047852,L
36,1711.10119629,1585.34521484,W
37,1763.16113281,1566.82507324,W
38,1823.93395996,1717.05957031,D
39,1751.31311035,1970.78283691,D
40,1946.1237793,1811.67236328,W
41,1690.57775879,1825.89160156,L
42,1685.16723633,1653.99438477,D
43,1779.24963379,1676.28942871,L
44,1662.17553711,1563.79821777,D
45,1831.92260742,1710.3807373,D
46,1647.85021973,1766.18798828,L
47,1579.38684082,1694.88781738,D
48,1697.99694824,1652.54064941,L
49,1577.75646973,1693.84655762,L
50,1980.85180664,1669.06201172,W
51,1857.42102051,1829.97412109,D
52,1724.90808105,1963.61413574,D
53,1822.73681641,1781.93603516,L
54,1731.33239746,1766.61462402,W
55,1782.34204102,1691.50292969,D
56,1666.15979004,1592.27856445,D
57,1702.84069824,1842.87402344,L
58,1785.84106445,1706.33447266,W
59,1704.46203613,1845.58056641,L
60,1990.51208496,1737.07470703,W
61,1674.0703125,1970.61279297,L
62,1687.51098633,1749.70825195,L
63,1877.63330078,1820.20324707,L
64,1701.44250488,1761.67724609,W
65,1841.12817383,1670.10522461,W
66,1578.70690918,1601.77148438,W
67,1676.46508789,1802.62866211,L
68,1671.99133301,1700.85021973,D
69,1762.21875,1715.76208496,W
70,1864.44091797,1676.97277832,W
71,1703.8848877,1672.3659668,W
72,1758.12219238,1858.57263184,L
73,1740.24194336,1595.41516113,W
74,1838.49658203,1685.76501465,L
75,1823.21496582,1799.05517578,W
76,1981.78881836,2009.21520996,D
77,1595.82775879,1853.67468262,L
78,1707.10498047,1672.07275391,L
79,1867.10644531,1592.91748047,W
80,1707.09851074,1870.15246582,L
81,1856.58508301,1981.80700684,W
82,1591.43115234,1749.58850098,L
83,1660.91833496,1817.15661621,D
84,2009.19702148,1829.91906738,W
85,1671.26123047,1744.22607422,L
86,1700.76879883,1715.33251953,W
