,Result,Home_Elo,Away_Elo
0,W,1691.97753906,1662.70031738
1,D,1752.1138916,1629.62536621
2,W,2058.93432617,1710.53796387
3,D,1687.51989746,1794.33337402
4,W,1819.56066895,1695.54431152
5,D,1999.85461426,1624.44934082
6,L,1758.06958008,2073.25610352
7,W,1692.2088623,1843.13354492
8,L,1782.35974121,1643.81408691
9,L,1758.2166748,1703.4050293
10,D,1688.03649902,1744.02563477
11,D,1705.84484863,1694.48242188
12,W,1654.6439209,1739.21264648
13,D,1654.52807617,1988.40942383
14,L,1632.16210938,1750.29431152
15,W,2075.47973633,1766.09423828
16,D,1630.34289551,1699.41796875
17,L,1830.3729248,2058.07568359
18,W,1716.85754395,1685.43127441
19,D,1781.71191406,1821.51708984
20,D,1760.51086426,1687.31982422
21,L,2062.4753418,1629.98168945
22,L,1764.859375,1982.17590332
23,L,1744.7421875,1780.51379395
24,W,2076.71435547,1621.94567871
25,W,1822.71508789,1727.27929688
26,L,1697.078125,1825.9732666
27,L,1675.00952148,1662.74499512
28,W,1699.7791748,1660.76159668
29,L,1731.1114502,1703.24926758
30,D,1711.40405273,1661.55065918
31,W,1993.37023926,1702.08740234
32,D,1670.3815918,1828.6159668
33,W,1720.51525879,1728.40100098
34,L,1652.63110352,2043.75891113
35,W,1812.80810547,1717.13439941
36,L,1688.64086914,2075.8605957
37,D,1618.13977051,1747.32348633
38,W,1791.85070801,1753.36743164
39,D,1643.88623047,1687.24572754
40,W,1722.21044922,1672.52697754
41,W,1826.47058105,1707.76147461
42,D,2047.58972168,1996.65979004
43,W,1745.99804688,1698.79785156
44,L,1665.1932373,1816.74230957
45,D,2078.48999023,1797.07263184
46,W,1748.14550781,1726.70581055
47,L,1688.44287109,1648.80041504
48,L,1619.46520996,1686.01135254
49,W,1713.20019531,1642.68896484
50,W,1704.32519531,1727.11315918
51,W,1823.07653809,1829.90686035
52,W,1667.62426758,1757.4543457
53,D,1717.39685059,2070.64526367
54,L,1693.9128418,2043.8458252
55,W,2000.40356445,1677.03710938
56,L,1694.42529297,1750.88317871
57,L,1660.20617676,1717.60058594
58,W,1804.91748047,1611.05126953
59,W,1638.28857422,1658.85888672
60,W,1749.21582031,1714.27160645
61,W,1679.18286133,1691.85717773
62,L,1652.98864746,1654.85925293
63,D,1610.94555664,1727.2388916
64,W,1828.01611328,1650.84887695
65,W,1769.82336426,2056.12792969
66,D,1685.5958252,1806.91223145
67,W,1723.85681152,1836.95422363
68,D,2064.53393555,1682.55285645
69,L,1729.63757324,2011.57385254
70,D,1726.29272461,1686.65270996
71,W,2016.69836426,1642.88256836
72,W,2043.30236816,1685.48522949
73,L,1664.96533203,1830.62280273
74,L,1709.05358887,2055.8112793
75,D,1648.2421875,1732.85290527
76,W,1827.95825195,1754.43383789
77,L,1685.55480957,1724.51306152
78,W,1805.85534668,1782.64880371
79,L,1691.27563477,1611.89172363
80,L,1619.61779785,1698.80664062
81,D,1685.64123535,1674.43994141
82,D,1636.24353027,1671.71838379
83,W,1745.59191895,1643.59277344
84,L,1729.23999023,2045.34997559
85,W,1761.22436523,1679.19824219
86,W,1728.39257812,1654.34313965
87,W,2057.31567383,1808.86669922
88,W,1836.93688965,2017.19470215
89,W,1808.57421875,1718.19470215
90,L,1645.36962891,1752.36376953
91,L,1636.82092285,2059.02148438
92,W,2006.51855469,1737.36608887
93,W,2048.11669922,1634.90563965
94,D,1673.05627441,1847.61303711
95,D,1807.16088867,1611.41760254
96,W,1677.06640625,1812.67468262
97,D,1714.09423828,1768.54882812
98,L,1707.00671387,1683.01477051
99,D,1671.8737793,1726.4732666
100,W,1723.38464355,1663.95324707
101,D,1622.6439209,1659.36352539
102,W,1701.55163574,1674.86669922
103,L,1606.4699707,1622.34777832
104,W,1751.40563965,1998.30786133
105,W,1750.01855469,1715.69458008
106,D,1682.40087891,1791.32104492
107,W,2041.23132324,1623.03881836
108,L,1837.27954102,2022.78710938
109,W,1775.87854004,1684.33166504
110,W,1678.61352539,1706.77636719
111,L,1980.91003418,2042.31896973
112,D,2028.1204834,1728.08752441
113,L,1660.7454834,1831.94616699
114,W,1669.64196777,1755.08361816
115,L,1632.20373535,1683.07202148
116,W,1790.65002441,1781.59667969
117,L,1659.25036621,1768.8034668
118,D,1710.6295166,1621.26196289
119,W,1621.95129395,1596.61413574
120,W,1672.99682617,1683.27282715
121,W,1687.57653809,1625.0
122,W,1731.63513184,1650.34008789
123,W,2055.51538086,1644.05065918
124,W,1821.55957031,1701.39221191
125,W,1735.69628906,1621.45507812
126,L,1584.5213623,1963.70861816
127,D,1774.95910645,2017.51489258
128,L,1765.0135498,1618.6550293
129,W,1693.07299805,1794.55908203
130,D,1967.69970703,1695.25744629
131,D,2013.42553711,2056.14086914
132,W,1616.68151855,1824.83874512
133,D,1617.3190918,1745.2779541
134,D,1638.390625,1704.77868652
135,W,1782.85327148,1681.57177734
136,D,1674.69787598,1740.46984863
137,W,1643.4251709,1580.53027344
138,D,1698.11291504,1735.75976562
139,W,1646.21533203,1779.04833984
140,D,1735.90270996,1626.14013672
141,D,1704.10595703,1616.95507812
142,L,1572.88916016,2013.22961426
143,W,2049.69213867,1663.15332031
144,W,1759.26525879,1695.125
145,L,1746.55566406,1811.921875
146,D,1674.97009277,1636.21838379
147,W,1701.63818359,1648.22131348
148,W,1672.50793457,1782.45666504
149,W,1745.07702637,1953.20166016
150,W,1639.81933594,1681.00891113
151,W,1933.67431641,1699.35620117
152,L,1631.40405273,1763.54992676
153,W,1826.68359375,1730.63891602
154,L,1643.64685059,1764.60449219
155,W,2015.84765625,1706.21264648
156,W,1662.44335938,1570.27111816
157,D,1621.70483398,1671.36901855
158,W,1773.95581055,1731.79394531
159,D,1704.27416992,1667.82019043
160,L,1672.65979004,1935.47741699
161,W,1697.55310059,1633.02026367
162,W,2050.40209961,1621.41943359
163,L,1773.53442383,1833.12756348
164,D,1778.6652832,1646.58435059
165,W,1727.08447266,1724.19494629
166,W,1674.24377441,1620.4140625
167,D,1775.2310791,2017.78613281
168,D,1564.89428711,1690.8404541
169,W,1941.42346191,1680.71716309
170,W,2013.78051758,1701.7713623
171,D,1671.46899414,1779.23681641
172,D,1613.94067383,1772.92199707
173,W,1734.99584961,1652.32775879
174,D,1620.22106934,1565.79711914
175,W,1850.85205078,2051.60058594
176,L,1628.80187988,1666.71374512
177,W,1689.93762207,1700.62536621
178,L,1716.28356934,1755.80993652
179,D,1699.29528809,1671.88916016
180,D,1648.28430176,1615.81286621
181,W,1694.7442627,1616.21484375
182,W,2041.05493164,1703.02404785
183,L,1778.81652832,1695.81872559
184,D,1771.04980469,1943.04406738
185,L,1676.1159668,2016.2565918
186,L,1569.80334473,1861.39758301
187,D,1679.09667969,1619.3996582
188,W,1769.06933594,1739.03930664
189,D,1566.37097168,1702.06054688
190,D,1644.83886719,1940.75341797
191,W,1670.86584473,1675.21191406
192,L,1619.25830078,1733.95654297
193,W,1761.06469727,1610.49621582
194,W,1773.34057617,1623.48327637
195,W,1700.4630127,1864.82995605
196,D,1675.01293945,2021.50683594
197,W,2042.01843262,1774.15222168
198,W,1695.97253418,1713.57067871
199,W,1935.46911621,1608.66638184
200,W,2015.28295898,1776.15979004
201,L,1700.77832031,1714.45275879
202,L,1705.16247559,1679.17724609
203,W,1771.65161133,1567.65319824
204,D,1850.84033203,1765.11657715
205,L,1620.66394043,1650.12304688
206,W,1606.44433594,1704.3807373
207,L,1724.69885254,1773.74523926
208,L,1663.95007324,2018.15942383
209,W,1773.2833252,1666.9005127
210,L,1565.55957031,2044.51904297
211,D,1681.23681641,1682.92749023
212,W,1937.02416992,1744.54846191
213,L,1696.35534668,1846.06555176
214,L,1607.11120605,1606.83703613
215,D,1769.89135742,1690.53210449
216,W,1701.41223145,1614.46972656
217,W,1591.97387695,1663.99047852
218,L,1648.73669434,1643.00073242
219,W,2033.85681152,1700.9041748
220,W,1837.93762207,1694.64465332
221,L,1607.26245117,1924.70458984
222,W,1983.65344238,1577.42224121
223,W,1721.18762207,1549.23071289
224,L,1768.27648926,1732.70678711
225,W,1670.91027832,1761.56665039
226,W,1680.50964355,1675.21972656
227,W,1684.60205078,2037.68469238
228,L,1673.29077148,1760.65649414
229,W,1657.56164551,1699.93151855
230,W,1694.35314941,1689.99499512
231,W,1580.54260254,1641.73217773
