,Result,Home_Elo,Away_Elo
0,D,1687.09924316,1554.30871582
1,L,1562.89599609,1887.04785156
2,W,1579.93774414,1645.45471191
3,W,1560.81298828,1538.34741211
4,L,1494.89868164,1538.36633301
5,W,1481.27429199,1644.7487793
6,W,1599.36071777,1546.24609375
7,L,1542.53735352,1698.47705078
8,D,1618.6036377,1552.15429688
9,W,1640.68029785,1570.7454834
10,W,1714.328125,1573.05541992
11,L,1547.12573242,1651.87878418
12,W,1640.0982666,1492.68713379
13,L,1538.67004395,1566.64831543
14,L,1553.14294434,1701.04382324
15,W,1572.11206055,1539.25146484
16,W,1561.90319824,1594.55908203
17,W,1565.62817383,1621.41967773
18,W,1895.8605957,1498.48986816
19,W,1647.125,1611.04614258
20,W,1616.60778809,1526.90063477
21,L,1534.23413086,1576.90710449
22,W,1571.3482666,1584.88476562
23,W,1492.33422852,1722.50231934
24,W,1500.23803711,1543.4309082
25,D,1605.953125,1583.59631348
26,D,1662.04052734,1646.91821289
27,W,1719.18737793,1900.5793457
28,W,1585.06152344,1550.62487793
29,D,1657.98413086,1577.86779785
30,D,1884.78491211,1654.21459961
31,W,1532.38122559,1509.73742676
32,W,1574.96911621,1581.63745117
33,D,1588.68017578,1603.73779297
34,L,1648.93457031,1734.98181152
35,L,1520.48120117,1522.46105957
36,L,1705.09912109,1590.88916016
37,L,1544.79711914,1511.2878418
38,W,1660.02416992,1623.02722168
39,W,1585.81164551,1581.26391602
40,L,1576.14611816,1878.55029297
41,W,1763.79199219,1599.11206055
42,D,1539.75512695,1530.68847656
43,L,1612.39501953,1545.15966797
44,D,1505.14160156,1533.57897949
45,W,1511.36975098,1640.05615234
46,W,1578.91345215,1591.56542969
47,D,1621.3503418,1700.58898926
48,D,1609.03515625,1660.52941895
49,W,1668.14794922,1585.87561035
50,L,1629.90393066,1585.75769043
51,W,1885.17431641,1504.36523438
52,W,1556.47631836,1569.52209473
53,D,1580.9934082,1537.91882324
54,W,1584.72119141,1521.52197266
55,W,1699.93908691,1608.88745117
56,L,1534.35534668,1601.07836914
57,D,1532.52478027,1673.03015137
58,W,1660.67724609,1769.26342773
59,W,1593.640625,1622.00024414
60,W,1596.65454102,1886.79174805
61,W,1750.42468262,1563.47583008
62,W,1578.19909668,1589.7857666
63,D,1614.33764648,1562.52258301
64,W,1502.74780273,1600.9185791
65,W,1516.45727539,1708.86083984
66,L,1599.96582031,1521.09606934
67,L,1540.71313477,1679.51586914
68,W,1614.72241211,1534.89221191
69,W,1670.66271973,1619.00708008
70,W,1579.5793457,1577.38256836
71,W,1560.10131836,1610.40344238
72,D,1513.12890625,1583.0604248
73,W,1605.66894531,1529.23242188
74,L,1527.04333496,1746.44641113
75,W,1524.55688477,1579.64416504
76,W,1865.53796387,1605.80090332
77,D,1555.16149902,1614.09960938
78,W,1688.71826172,1668.91137695
79,W,1670.77844238,1522.29675293
80,W,1674.13537598,1697.33215332
81,W,1602.68188477,1757.52868652
82,L,1524.3248291,1868.12365723
83,L,1571.45019531,1555.12902832
84,W,1570.96118164,1610.57641602
85,L,1518.93981934,1532.75085449
86,W,1582.77514648,1567.82287598
87,W,1614.13208008,1515.96105957
88,D,1660.29736328,1513.41418457
89,D,1586.00073242,1603.21520996
90,W,1750.48779297,1593.6418457
91,D,1570.30700684,1622.11279297
92,D,1609.39538574,1526.87353516
93,W,1523.6796875,1514.31738281
94,W,1607.94494629,1565.98376465
95,L,1687.84179688,1583.30419922
96,L,1547.0847168,1589.53198242
97,L,1566.66760254,1661.73291016
98,L,1516.58837891,1697.24914551
99,D,1879.76147461,1623.21618652
100,L,1613.49401855,1872.46887207
101,W,1530.93078613,1556.13598633
102,D,1560.43457031,1529.72924805
103,W,1600.93395996,1569.86865234
104,D,1508.26782227,1587.43249512
105,D,1672.26464844,1756.69714355
106,L,1622.55114746,1670.21203613
107,D,1630.50878906,1605.33813477
108,W,1704.55529785,1538.33203125
109,W,1598.28479004,1509.28222656
110,W,1590.05505371,1631.13000488
111,W,1767.7557373,1543.97436523
112,W,1567.15380859,1612.95092773
113,W,1610.86816406,1511.79650879
114,D,1535.44946289,1609.80004883
115,W,1688.9654541,1560.86560059
116,D,1535.9954834,1617.31323242
117,W,1549.24353027,1695.34997559
118,D,1507.92626953,1680.2064209
119,W,1884.83032227,1605.79187012
120,L,1605.11157227,1692.73828125
121,L,1507.57263184,1773.24658203
122,W,1538.48364258,1535.79089355
123,D,1557.09277344,1600.57470703
124,W,1888.10229492,1536.5369873
125,D,1602.51989746,1574.99316406
126,L,1616.77172852,1510.95288086
127,D,1609.45861816,1615.09204102
128,W,1620.61022949,1559.44897461
129,L,1677.17993164,1685.14453125
130,W,1602.72412109,1607.13696289
131,W,1788.58154297,1628.47961426
132,W,1619.50231934,1532.17565918
133,D,1557.13134766,1610.60009766
134,D,1526.1394043,1504.54138184
135,D,1603.93676758,1547.65063477
136,D,1537.72570801,1600.34204102
137,L,1580.34069824,1668.27978516
138,L,1710.73742676,1894.13208008
139,D,1690.95239258,1559.28234863
140,D,1527.73181152,1794.70483398
141,W,1600.39746094,1556.81274414
142,W,1506.97106934,1609.27026367
143,W,1550.99462891,1523.70959473
144,D,1564.42626953,1623.94604492
145,L,1610.91870117,1685.80834961
146,L,1537.67028809,1705.68188477
147,W,1899.18762207,1572.52978516
148,D,1676.09069824,1622.35632324
149,W,1600.59082031,1600.59289551
150,D,1549.0177002,1532.96972656
151,W,1789.46704102,1564.23779297
152,D,1570.71850586,1516.03613281
153,L,1624.13452148,1608.19250488
154,W,1603.19995117,1523.97790527
155,W,1594.29846191,1900.9987793
156,W,1625.67407227,1562.5513916
157,W,1693.52722168,1606.88513184
158,W,1600.2052002,1672.77294922
159,W,1553.09912109,1566.60705566
160,W,1558.51538086,1522.87561035
161,L,1613.06518555,1783.14025879
162,L,1534.4954834,1633.55834961
163,W,1617.69396973,1617.45874023
164,W,1598.5168457,1518.57971191
165,W,1707.69689941,1611.17297363
166,D,1867.80981445,1705.9810791
167,W,1670.91149902,1609.07080078
168,L,1557.0177002,1516.5390625
169,W,1604.04650879,1861.96777344
170,W,1514.1229248,1675.93591309
171,W,1611.0880127,1602.29406738
172,L,1607.05639648,1566.36340332
173,D,1602.97363281,1562.68847656
174,L,1793.91137695,1711.81347656
175,W,1545.9239502,1515.02758789
176,W,1640.8581543,1624.06469727
177,W,1711.82312012,1527.19567871
178,W,1777.29089355,1555.39001465
179,L,1577.57055664,1649.35095215
180,D,1590.27331543,1714.4375
181,W,1524.58129883,1599.921875
182,D,1615.57189941,1595.84936523
183,W,1728.43395996,1540.96081543
184,D,1505.56140137,1616.79382324
185,W,1532.59594727,1623.10876465
186,W,1849.22058105,1524.58349609
187,D,1665.4753418,1565.7401123
188,D,1612.98864746,1660.89660645
189,W,1570.31884766,1569.39343262
190,D,1537.23999023,1591.76049805
191,W,1521.94030762,1615.67248535
192,D,1614.49401855,1535.98095703
193,L,1598.43261719,1851.8638916
194,L,1588.52233887,1541.21069336
195,W,1553.31774902,1732.15478516
196,L,1657.5279541,1779.36315918
197,D,1712.95031738,1506.68273926
198,W,1552.54992676,1563.97424316
199,D,1563.02770996,1706.30944824
200,W,1592.24353027,1577.1829834
201,D,1540.04455566,1612.25952148
202,D,1603.55493164,1594.66430664
203,W,1513.3236084,1610.43041992
204,L,1559.17199707,1855.63208008
205,W,1790.94384766,1534.05773926
206,W,1721.49829102,1645.94726562
207,W,1661.62585449,1536.75695801
208,W,1639.51525879,1598.15002441
209,L,1576.68457031,1598.14868164
210,W,1532.94812012,1525.60400391
211,D,1565.04541016,1557.35229492
212,L,1530.69042969,1540.06652832
213,L,1727.93029785,1612.23742676
214,D,1596.93640137,1554.72668457
215,W,1704.29174805,1601.28283691
216,D,1860.07727051,1794.3112793
217,L,1571.2779541,1665.43469238
218,W,1519.45617676,1650.08276367
219,W,1798.02062988,1710.05712891
220,D,1611.47009277,1593.77416992
221,L,1549.47583008,1856.36791992
222,L,1595.51745605,1559.59448242
223,L,1624.9017334,1521.28112793
224,W,1587.58251953,1562.80322266
