,Result,Home_Elo,Away_Elo
0,W,2006.20507812,1651.18383789
1,W,1861.0333252,1699.87536621
2,W,1788.40710449,1801.73193359
3,W,1633.74902344,1714.17834473
4,L,1653.95678711,1724.51831055
5,W,1668.70141602,1575.19885254
6,D,1644.60229492,1598.41516113
7,W,1640.31176758,1647.54699707
8,D,1640.36889648,1542.77746582
9,L,1705.38781738,2008.87060547
10,W,1794.87316895,1641.83911133
11,L,1601.17834473,1647.15356445
12,W,1546.86975098,1864.27966309
13,W,1640.7052002,1795.26586914
14,W,1568.57556152,1642.53955078
15,D,1735.16577148,1675.3248291
16,D,1696.62902832,1636.2767334
17,L,1648.51831055,1643.30932617
18,W,1679.54516602,1656.44824219
19,W,2016.23962402,1590.29150391
20,W,1856.61340332,1578.24304199
21,W,1773.97485352,1640.21765137
22,W,1634.96081543,1797.09667969
23,L,1638.0760498,1562.13452148
24,D,1640.60168457,1733.03417969
25,L,1653.69873047,1691.37158203
26,W,1660.12915039,1711.96923828
27,L,1589.22668457,1645.67736816
28,W,1645.86962891,1615.13366699
29,D,1574.04663086,1641.67468262
30,L,1731.96118164,1860.80981445
31,D,1786.38012695,1641.82653809
32,W,2017.30432129,1671.41296387
33,D,1585.07702637,1780.14440918
34,L,1700.6854248,1690.12390137
35,L,1634.04821777,1703.24389648
36,W,1872.7454834,1651.72009277
37,W,1776.28320312,1577.87145996
38,D,1657.03259277,1669.31005859
39,W,1646.98217773,1574.43896484
40,L,1609.28308105,2019.40734863
41,L,1710.62097168,1781.2244873
42,W,1626.67114258,1720.0255127
43,D,1703.79968262,1588.93811035
44,W,1641.28234863,1687.00964355
45,W,1595.22998047,1653.81396484
46,W,1791.83349609,1880.75305176
47,D,2016.01513672,1701.03076172
48,L,1575.8326416,1650.67651367
49,W,1672.23583984,1609.57214355
50,W,1650.19470215,1657.62963867
51,D,1571.13000488,1637.4050293
52,W,1688.47888184,1778.30859375
53,D,1712.81445312,1708.66760254
54,D,1868.22192383,1679.64978027
55,D,1760.56530762,1602.15820312
56,D,1650.9173584,2008.13525391
57,D,1645.60571289,1706.22229004
58,W,1708.91064453,1568.29577637
59,W,1658.21337891,1656.90710449
60,W,1637.09265137,1804.36450195
61,W,1710.40100098,1571.44238281
62,L,1711.08117676,1603.43823242
63,L,1614.80932617,1665.0567627
64,L,1799.38671875,1671.75146484
65,W,2010.64941406,1769.68566895
66,D,1571.71875,1876.30322266
67,W,1692.91845703,1719.78564453
68,W,1657.66699219,1652.87194824
69,W,1575.00854492,1705.88220215
70,W,1622.93518066,1654.83374023
71,W,1723.953125,1716.47741699
72,D,1766.74658203,1679.45043945
73,D,1870.17346191,1734.87768555
74,L,1646.41918945,2013.58850098
75,W,1705.55285645,1577.84851074
76,L,1589.36450195,1633.09997559
77,L,1691.52624512,1777.85107422
78,L,1644.66906738,1664.11987305
79,W,1712.38635254,1600.41564941
80,W,1693.28710938,1700.31774902
81,W,1693.68322754,1755.92980957
82,W,1796.67468262,1577.27429199
83,D,2019.65124512,1699.88330078
84,W,1683.4675293,1719.62597656
85,L,1572.5369873,1643.56665039
86,L,1593.13757324,1867.96887207
87,L,1676.62866211,1684.07568359
88,W,1645.1517334,1692.71691895
89,W,1747.1595459,1632.12182617
90,L,1799.0201416,1656.0838623
91,W,1873.49523926,2011.66821289
92,L,1741.94665527,1712.15283203
93,D,1654.60253906,1707.66625977
94,W,1681.78479004,1660.5345459
95,L,1574.92871094,1561.50109863
96,L,1700.16967773,1752.63293457
97,D,1707.86645508,1587.61120605
98,L,1626.6484375,1690.94067383
99,L,1651.48681641,1668.35864258
100,W,1986.59399414,1785.21325684
101,D,1732.4263916,1702.34924316
102,W,1697.76904297,1884.32910156
103,D,1721.9128418,1653.61010742
104,D,1570.74951172,1691.17163086
105,D,1591.59643555,1618.28808594
106,W,1707.12670898,1691.37451172
107,W,1766.66906738,1564.1484375
108,L,1685.21887207,1989.1730957
109,D,1782.6340332,1635.85961914
110,W,1873.15197754,1729.96166992
111,W,1683.98596191,1770.31628418
112,W,1704.81396484,1718.44604492
113,L,1689.37609863,1713.28234863
114,W,1619.16833496,1572.54504395
115,D,1657.07702637,1708.94616699
116,L,1560.50109863,1590.71618652
117,D,1711.99450684,1721.4095459
118,W,2001.13769531,1683.2824707
119,D,1707.51513672,1888.27661133
120,W,1570.01989746,1695.65490723
121,W,1605.94177246,1659.6932373
122,L,1725.04064941,1627.3581543
123,W,1643.99902344,1550.94018555
124,W,1724.30126953,1686.23754883
125,L,1751.33227539,1790.64050293
126,D,1722.828125,1884.90771484
127,W,1651.72119141,1729.80493164
128,W,1680.73388672,1613.91381836
129,W,1685.66394043,1713.20214844
130,D,1742.87902832,1648.390625
131,W,1680.24951172,1710.57592773
132,D,1639.19677734,1710.8840332
133,L,1799.09375,1580.01086426
134,L,1546.54858398,2004.1706543
135,D,1882.00756836,1660.3145752
136,L,1721.21142578,1687.49584961
137,W,1703.32958984,1687.87316895
138,W,1606.77453613,1738.74267578
139,W,2005.33178711,1695.89978027
140,D,1710.5012207,1784.45141602
141,L,1594.65319824,1652.52697754
142,W,1702.96630859,1545.38757324
143,D,1725.72827148,1639.57958984
144,L,1660.6451416,2007.80847168
145,L,1667.01660156,1721.74450684
146,W,1693.42297363,1713.89746094
147,D,1540.76123047,1710.69335938
148,W,1728.66503906,1586.53503418
149,W,1698.01403809,1616.85229492
150,L,1643.56335449,1875.30566406
151,W,1784.06079102,1707.59265137
152,D,1677.30529785,1710.8918457
153,L,1732.22875977,1701.76062012
154,L,1790.88562012,1707.6270752
155,W,1582.97131348,1612.1619873
156,W,1705.55981445,1733.33813477
157,L,1543.82739258,1711.66418457
158,L,1702.70422363,1655.42297363
159,L,1639.828125,2009.97192383
160,D,1676.53308105,1879.04089355
161,W,1658.48168945,1700.7677002
162,W,1601.83898926,1779.27709961
163,D,2011.80810547,1721.69238281
164,W,1875.13293457,1712.62658691
165,W,1719.2355957,1666.06005859
166,W,1724.03747559,1691.56066895
167,W,1693.18945312,1593.29443359
168,W,1726.27148438,1680.44091797
169,W,1712.29699707,1531.45410156
170,W,1666.56652832,1637.99182129
171,W,1669.89807129,1672.28613281
172,W,1768.24890137,1716.28125
173,L,1588.96887207,2004.12841797
174,L,1709.60693359,1612.86706543
175,W,1527.46984863,1878.15258789
176,W,1729.37219238,1697.51489258
177,L,1632.27233887,1728.17858887
178,W,1657.11706543,1729.83337402
179,W,1685.76477051,1736.81433105
180,L,1662.98193359,1777.24475098
181,W,1857.94934082,1693.28100586
182,L,1707.11132812,1586.65991211
183,D,1634.00793457,1665.31567383
184,D,1689.29980469,2015.00830078
185,L,1679.02819824,1625.10388184
186,W,1729.12402344,1541.98510742
187,L,1725.34533691,1688.29199219
188,D,1721.46069336,1743.7442627
189,L,1691.93945312,1644.32275391
190,L,1782.54101562,1667.23205566
191,W,2012.39465332,1636.70483398
192,W,1699.33605957,1692.84350586
193,W,1702.96240234,1723.91699219
194,L,1670.04138184,1866.71350098
195,L,1541.9732666,1656.96130371
196,L,1608.35046387,1737.92675781
197,D,1748.2902832,1736.55859375
198,D,1663.79162598,1712.88903809
199,W,1874.71411133,1764.96801758
200,W,1746.96008301,1746.18200684
201,L,1713.99035645,2015.06237793
202,D,1684.80505371,1680.94335938
203,W,1738.66687012,1599.3170166
204,W,1655.31884766,1535.14294434
205,L,1683.85131836,1662.04077148
206,W,1634.03710938,1708.32824707
207,D,1764.47851562,1668.18066406
208,W,2030.5949707,1681.06799316
209,D,1600.6184082,1716.44702148
210,W,1707.38171387,1909.53942871
211,L,1720.69946289,1690.24121094
212,D,1679.73083496,1752.27233887
213,W,1537.18786621,1690.41394043
214,W,1649.89038086,1766.71105957
215,W,1741.33776855,1670.88806152
216,W,1898.36157227,1602.56799316
217,D,1679.5657959,1659.75463867
218,D,1662.80480957,1680.44641113
219,W,1715.35058594,1719.41271973
220,W,1752.40979004,1761.90783691
221,W,1701.22949219,1547.92138672
222,W,1672.89916992,1710.56420898
223,L,1746.57043457,2032.95019531
224,L,1680.53344727,1761.40356445
225,L,1710.0057373,1758.89074707
226,W,2036.0657959,1661.43017578
227,D,1677.15307617,1743.45483398
228,W,1662.16748047,1724.75756836
229,W,1698.2310791,1544.70837402
230,L,1681.82104492,1685.2322998
231,D,1769.0559082,1899.84277344
232,D,1755.42700195,1704.44250488
233,W,1601.08679199,1672.88122559
234,W,1898.01147461,1670.19055176
235,W,1716.73449707,1677.14916992
236,W,1770.75769043,2038.35668945
237,W,1701.35742188,1770.88720703
238,W,1743.45874023,1698.13879395
239,L,1659.13928223,1609.3223877
240,L,1664.64562988,1704.62988281
241,L,1538.30957031,1752.15429688
242,L,1707.71520996,1665.69592285
243,D,1671.58837891,1715.26074219
244,W,2025.48046875,1901.6829834
245,L,1722.29528809,1748.74475098
246,W,1666.51904297,1783.63391113
247,W,1713.31884766,1758.51037598
248,W,1676.73815918,1655.95666504
249,W,1756.98388672,1696.67297363
250,W,1620.61218262,1531.95336914
251,W,1692.8527832,1647.8494873
252,D,1740.30029297,2011.5255127
253,W,1872.83776855,1660.2175293
254,W,1629.50756836,1702.50952148
255,W,1639.38220215,1689.71948242
256,W,1710.05371094,1671.83740234
257,W,1763.51147461,1747.05517578
258,W,1677.06628418,1614.31384277
