,Result,Home_Elo,Away_Elo
0,W,1813.03723145,1549.18908691
1,W,1929.06433105,1707.07397461
2,W,1677.01831055,1630.86462402
3,L,1595.57885742,1686.25134277
4,W,1553.78649902,1498.15893555
5,W,1541.72705078,1702.60388184
6,L,1590.06945801,1576.64367676
7,W,1629.41040039,1555.70874023
8,L,1571.8458252,1687.77026367
9,D,1535.60253906,1814.3536377
10,L,1684.11010742,1921.6619873
11,W,1799.30651855,1672.59326172
12,D,1539.56677246,1779.68310547
13,L,1483.29626465,1626.265625
14,W,1695.1895752,1537.60253906
15,D,1680.75830078,1555.33532715
16,W,1577.17871094,1578.43334961
17,L,1685.12329102,1531.36279297
18,W,1616.00292969,1549.36242676
19,W,1536.1574707,1570.24768066
20,W,1925.70751953,1688.20324707
21,L,1560.41577148,1804.36083984
22,L,1667.53894043,1546.26757812
23,W,1775.125,1583.49938965
24,W,1572.11279297,1625.80200195
25,W,1539.56335449,1544.12487793
26,D,1522.42797852,1680.06445312
27,L,1528.28283691,1675.67785645
28,W,1560.13757324,1474.55737305
29,L,1579.77416992,1653.58459473
30,W,1679.07458496,1520.95849609
31,W,1818.5,1544.68579102
32,W,1536.4453125,1578.2277832
33,D,1468.89343262,1552.35961914
34,W,1696.07177734,1773.65661621
35,W,1661.09558105,1922.32043457
36,W,1701.24938965,1633.72583008
37,D,1617.12976074,1563.24438477
38,L,1557.66467285,1525.07678223
39,W,1661.5802002,1684.08239746
40,W,1765.6607666,1469.16162109
41,L,1565.89916992,1552.09143066
42,W,1542.36157227,1571.77856445
43,W,1534.77539062,1707.80871582
44,L,1566.77111816,1673.94360352
45,D,1627.16638184,1820.82421875
46,W,1909.47253418,1548.77392578
47,D,1515.95068359,1613.60290527
48,D,1549.10437012,1704.06762695
49,W,1817.5480957,1534.77539062
50,L,1562.48510742,1911.41174316
51,D,1701.81896973,1670.93041992
52,D,1630.44250488,1516.5880127
53,D,1684.36828613,1552.24462891
54,W,1674.73217773,1556.34643555
55,W,1699.37341309,1551.35302734
56,W,1612.96557617,1768.4387207
57,W,1546.83459473,1561.89562988
58,L,1466.38366699,1555.50549316
59,L,1520.45556641,1539.85473633
60,L,1547.14160156,1678.81396484
61,W,1672.79992676,1685.74853516
62,W,1755.84411621,1667.21484375
63,W,1565.37792969,1828.65478516
64,L,1556.49780273,1624.37609863
65,W,1552.1192627,1454.31237793
66,L,1550.0657959,1919.78405762
67,D,1554.41210938,1558.92553711
68,W,1626.14599609,1702.39306641
69,W,1923.57958984,1535.73925781
70,L,1816.01171875,1760.00280762
71,D,1510.01525879,1552.43383789
72,L,1553.07800293,1679.33435059
73,D,1694.38598633,1578.02111816
74,D,1632.79870605,1546.27026367
75,L,1663.05603027,1556.16540527
76,D,1690.21643066,1548.07531738
77,W,1679.21411133,1450.26623535
78,L,1560.90380859,1634.15307617
79,W,1692.37536621,1929.2857666
80,W,1553.68713379,1628.82922363
81,W,1768.72485352,1547.52453613
82,W,1583.34204102,1660.31335449
83,D,1553.93310547,1681.34924316
84,L,1568.99780273,1697.50402832
85,L,1448.54064941,1787.60644531
86,D,1550.91845703,1557.79870605
87,D,1648.2109375,1685.03723145
88,W,1535.23730469,1509.44055176
89,W,1620.65979004,1704.70202637
90,D,1555.54003906,1555.45422363
91,D,1706.83984375,1446.08984375
92,W,1652.14367676,1647.140625
93,W,1916.95898438,1561.85656738
